transaction_id,user_id,amount,transaction_timestamp,transaction_type
1,12,45.50,2024-01-01 08:23:00,purchase
2,34,22.00,2024-01-01 10:15:00,subscription
3,7,15.75,2024-01-01 14:30:00,tip
4,56,88.20,2024-01-02 09:00:00,purchase
5,23,10.00,2024-01-02 11:45:00,refund
6,1,67.30,2024-01-03 07:12:00,purchase
7,45,33.50,2024-01-03 13:22:00,subscription
8,78,19.99,2024-01-04 16:45:00,tip
9,90,105.00,2024-01-04 08:30:00,purchase
10,3,42.75,2024-01-05 10:00:00,purchase
11,15,28.50,2024-01-05 12:30:00,subscription
12,67,55.00,2024-01-06 09:15:00,purchase
13,42,12.25,2024-01-06 14:00:00,refund
14,8,73.80,2024-01-07 08:00:00,purchase
15,29,30.00,2024-01-07 11:30:00,tip
16,51,95.50,2024-01-08 10:45:00,purchase
17,14,18.00,2024-01-08 15:20:00,subscription
18,63,44.25,2024-01-09 07:30:00,purchase
19,36,60.00,2024-01-09 12:00:00,purchase
20,82,25.75,2024-01-10 09:45:00,refund
21,5,38.00,2024-01-10 14:15:00,tip
22,47,82.50,2024-01-11 08:00:00,purchase
23,19,15.00,2024-01-11 11:30:00,subscription
24,71,99.99,2024-01-12 10:00:00,purchase
25,33,27.50,2024-01-12 13:45:00,purchase
26,88,50.00,2024-01-13 09:30:00,purchase
27,2,35.25,2024-01-13 15:00:00,tip
28,54,70.00,2024-01-14 08:15:00,subscription
29,21,48.75,2024-01-14 12:30:00,purchase
30,76,110.00,2024-01-15 10:00:00,purchase
