session_id,user_id,visitor_id,session_start,session_end,visit_source,platform,visit_campaign,product_category,product_views,widget_views,product_revenue
1,1,101,2025-01-10 08:00:00,2025-01-10 08:30:00,organic,web,winter_sale,electronics,5,3,149.99
2,2,102,2025-01-10 09:00:00,2025-01-10 09:45:00,paid,mobile,winter_sale,clothing,3,2,79.50
3,3,103,2025-01-10 10:00:00,2025-01-10 10:20:00,organic,web,,electronics,2,1,0.00
4,1,101,2025-01-10 14:00:00,2025-01-10 14:30:00,direct,web,,home,4,5,220.00
5,4,104,2025-01-10 11:00:00,2025-01-10 11:50:00,paid,mobile,spring_promo,clothing,6,4,135.00
6,2,102,2025-01-10 15:00:00,2025-01-10 15:25:00,organic,tablet,,electronics,1,1,0.00
7,5,105,2025-01-11 08:00:00,2025-01-11 08:40:00,referral,web,winter_sale,home,3,2,89.99
8,3,103,2025-01-11 09:00:00,2025-01-11 09:30:00,paid,mobile,spring_promo,electronics,4,3,299.99
9,1,101,2025-01-11 10:00:00,2025-01-11 10:15:00,direct,web,,clothing,2,1,45.00
10,4,104,2025-01-11 11:00:00,2025-01-11 11:45:00,organic,tablet,winter_sale,home,5,4,175.50
